rank_test_score,params,split0_accuracy,split1_accuracy,split2_accuracy,split3_accuracy,split4_accuracy,mean_accuracy
5,"{'C': 0.01, 'gamma': 'scale', 'kernel': 'rbf'}",0.632,0.632,0.611,0.611,0.611,0.619
5,"{'C': 0.01, 'gamma': 'scale', 'kernel': 'linear'}",0.632,0.632,0.611,0.611,0.611,0.619
5,"{'C': 0.01, 'gamma': 'auto', 'kernel': 'rbf'}",0.632,0.632,0.611,0.611,0.611,0.619
5,"{'C': 0.01, 'gamma': 'auto', 'kernel': 'linear'}",0.632,0.632,0.611,0.611,0.611,0.619
5,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.632,0.632,0.611,0.611,0.611,0.619
5,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.632,0.632,0.611,0.611,0.611,0.619
5,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.632,0.632,0.611,0.611,0.611,0.619
5,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'linear'}",0.632,0.632,0.611,0.611,0.611,0.619
4,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.684,0.632,0.667,0.5,0.667,0.63
5,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}",0.632,0.632,0.611,0.611,0.611,0.619
5,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.632,0.632,0.611,0.611,0.611,0.619
5,"{'C': 1, 'gamma': 'auto', 'kernel': 'linear'}",0.632,0.632,0.611,0.611,0.611,0.619
5,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.632,0.632,0.667,0.611,0.556,0.619
5,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}",0.632,0.632,0.611,0.611,0.611,0.619
5,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",0.632,0.632,0.611,0.611,0.611,0.619
5,"{'C': 10, 'gamma': 'auto', 'kernel': 'linear'}",0.632,0.632,0.611,0.611,0.611,0.619
20,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",0.474,0.632,0.556,0.667,0.556,0.577
1,"{'C': 100, 'gamma': 'scale', 'kernel': 'linear'}",0.684,0.632,0.778,0.667,0.556,0.663
3,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",0.632,0.632,0.611,0.611,0.667,0.63
1,"{'C': 100, 'gamma': 'auto', 'kernel': 'linear'}",0.684,0.632,0.778,0.667,0.556,0.663
