outer_fold,model,dataset,accuracy,precision,recall,f1,auc_roc,best_params
1,RandomForest,voxel,0.5925925925925926,0.5906593406593407,0.5916666666666667,0.5903448275862069,0.6277777777777778,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}"
1,GradientBoosting,voxel,0.6296296296296297,0.625,0.625,0.625,0.6138888888888889,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}"
1,KNN,voxel,0.6296296296296297,0.6448863636363636,0.6416666666666666,0.6291208791208791,0.5611111111111111,"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}"
2,RandomForest,voxel,0.5555555555555556,0.5576923076923077,0.5583333333333333,0.554945054945055,0.5416666666666667,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}"
2,GradientBoosting,voxel,0.4074074074074074,0.41428571428571426,0.43333333333333335,0.38636363636363635,0.4638888888888889,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}"
2,KNN,voxel,0.5925925925925926,0.6,0.6,0.5925925925925926,0.663888888888889,"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}"
3,RandomForest,voxel,0.6923076923076923,0.7083333333333333,0.6785714285714286,0.675,0.6428571428571428,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}"
3,GradientBoosting,voxel,0.6153846153846154,0.6125,0.6071428571428572,0.606060606060606,0.5089285714285714,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}"
3,KNN,voxel,0.6538461538461539,0.6515151515151515,0.6488095238095238,0.6491754122938531,0.6994047619047619,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}"
4,RandomForest,voxel,0.8076923076923077,0.868421052631579,0.7916666666666667,0.7926634768740032,0.7500000000000001,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}"
4,GradientBoosting,voxel,0.5769230769230769,0.5769230769230769,0.5773809523809523,0.5762962962962963,0.6964285714285714,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}"
4,KNN,voxel,0.7307692307692307,0.7303030303030302,0.7261904761904762,0.7271364317841079,0.75,"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}"
5,RandomForest,voxel,0.7307692307692307,0.7303030303030302,0.7261904761904762,0.7271364317841079,0.8333333333333334,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}"
5,GradientBoosting,voxel,0.6153846153846154,0.6125,0.6071428571428572,0.606060606060606,0.7976190476190476,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}"
5,KNN,voxel,0.7692307692307693,0.775,0.7619047619047619,0.7636363636363637,0.8095238095238095,"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}"
