model,comparison,accuracy,accuracy,precision,precision,recall,recall,f1,f1,auc_roc,auc_roc
,,mean,std,mean,std,mean,std,mean,std,mean,std
GradientBoosting,AD vs CBS,0.647,0.033,0.616,0.046,0.605,0.058,0.6,0.062,0.626,0.109
,AD vs PSP,0.569,0.092,0.568,0.088,0.57,0.078,0.56,0.099,0.616,0.136
,PSP vs CBS,0.568,0.128,0.554,0.137,0.551,0.131,0.549,0.132,0.566,0.091
KNN,AD vs CBS,0.638,0.057,0.623,0.076,0.606,0.066,0.6,0.058,0.701,0.076
,AD vs PSP,0.675,0.073,0.68,0.071,0.676,0.066,0.672,0.071,0.697,0.094
,PSP vs CBS,0.626,0.095,0.617,0.102,0.603,0.09,0.603,0.092,0.584,0.093
RandomForest,AD vs CBS,0.655,0.1,0.633,0.102,0.631,0.111,0.624,0.113,0.613,0.084
,AD vs PSP,0.676,0.103,0.691,0.124,0.669,0.096,0.668,0.097,0.679,0.114
,PSP vs CBS,0.578,0.08,0.58,0.08,0.579,0.079,0.573,0.077,0.591,0.097
